category,job_title,Text
Web Development,Frontend Developer,"Motivated Frontend Developer skilled in react, css, git, html. Completed academic and personal projects focused on react and css. Comfortable working with git."
Business Analyst,Business Analyst,"Business Analyst candidate with practical exposure to requirement gathering, excel, tableau, communication. Interested in growing expertise in requirement gathering and excel."
Machine Learning,Machine Learning Engineer,"Machine Learning Engineer candidate with practical exposure to python, deep learning, scikit-learn, pandas. Interested in growing expertise in python and deep learning."
DevOps,DevOps Engineer,"Passionate DevOps Engineer proficient in linux, terraform, docker, kubernetes. Contributed to internship projects using linux, terraform, docker and kubernetes."
DevOps,Site Reliability Engineer,"Motivated Site Reliability Engineer skilled in jenkins, kubernetes, ansible, docker. Completed academic and personal projects focused on jenkins and kubernetes. Comfortable working with ansible."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in rest api, git, javascript, node.js. Worked on multiple projects involving rest api and git. Strong understanding of javascript and node.js."
Cloud Computing,Cloud Engineer,"Passionate Cloud Engineer proficient in azure, docker, aws, kubernetes. Contributed to internship projects using azure, docker, aws and kubernetes."
Cloud Computing,Cloud Support Associate,
Data Science,Junior Data Scientist,"Junior Data Scientist with a background in sql, python, pandas, excel. Built projects using sql, python and pandas. Familiar with excel and team collaboration tools."
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in aws, kubernetes, jenkins, ansible. Contributed to internship projects using aws, kubernetes, jenkins and ansible."
Machine Learning,AI Engineer,"Motivated AI Engineer skilled in scikit-learn, deep learning, nlp, numpy. Completed academic and personal projects focused on scikit-learn and deep learning. Comfortable working with nlp."
Business Analyst,Requirements Analyst,"Requirements Analyst with a background in sql, requirement gathering, tableau, power bi. Built projects using sql, requirement gathering and tableau. Familiar with power bi and team collaboration tools."
Business Analyst,Business Analyst,"Motivated Business Analyst skilled in jira, excel, sql, tableau. Completed academic and personal projects focused on jira and excel. Comfortable working with sql."
Cyber Security,Penetration Tester,"Motivated Penetration Tester skilled in network security, penetration testing, firewalls, linux. Completed academic and personal projects focused on network security and penetration testing. Comfortable working with firewalls."
Machine Learning,AI Engineer,"Passionate AI Engineer proficient in pandas, nlp, pytorch, scikit-learn. Contributed to internship projects using pandas, nlp, pytorch and scikit-learn."
Cloud Computing,Cloud Engineer,"Cloud Engineer with a background in kubernetes, linux, networking, docker. Built projects using kubernetes, linux and networking. Familiar with docker and team collaboration tools."
Database Administration,SQL Developer,"Motivated SQL Developer skilled in mysql, linux, backup recovery, mongodb. Completed academic and personal projects focused on mysql and linux. Comfortable working with backup recovery."
Web Development,Frontend Developer,"Experienced Frontend Developer with hands-on skills in javascript, rest api, css, react. Worked on multiple projects involving javascript and rest api. Strong understanding of css and react."
Database Administration,Database Administrator,"Passionate Database Administrator proficient in mongodb, backup recovery, linux, postgresql. Contributed to internship projects using mongodb, backup recovery, linux and postgresql."
Business Analyst,Business Analyst,"Experienced Business Analyst with hands-on skills in tableau, communication, power bi, jira. Worked on multiple projects involving tableau and communication. Strong understanding of power bi and jira."
Web Development,Backend Developer,"Passionate Backend Developer proficient in javascript, react, html, mongodb. Contributed to internship projects using javascript, react, html and mongodb."
Business Analyst,Business Analyst,"Business Analyst candidate with practical exposure to excel, tableau, power bi, sql. Interested in growing expertise in excel and tableau."
Android Development,Mobile App Developer,"Mobile App Developer with a background in firebase, gradle, java, android studio. Built projects using firebase, gradle and java. Familiar with android studio and team collaboration tools."
UI/UX Design,UI Designer,"Experienced UI Designer with hands-on skills in wireframing, css, adobe xd, figma. Worked on multiple projects involving wireframing and css. Strong understanding of adobe xd and figma."
Machine Learning,AI Engineer,"Experienced AI Engineer with hands-on skills in scikit-learn, nlp, pytorch, python. Worked on multiple projects involving scikit-learn and nlp. Strong understanding of pytorch and python."
Business Analyst,Business Analyst,"Business Analyst with a background in tableau, requirement gathering, communication, sql. Built projects using tableau, requirement gathering and communication. Familiar with sql and team collaboration tools."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to terraform, azure, kubernetes, networking. Interested in growing expertise in terraform and azure."
Cloud Computing,AWS Solutions Architect,"Motivated AWS Solutions Architect skilled in networking, kubernetes, docker, aws. Completed academic and personal projects focused on networking and kubernetes. Comfortable working with docker."
Machine Learning,Machine Learning Engineer,"Experienced Machine Learning Engineer with hands-on skills in nlp, python, deep learning, numpy. Worked on multiple projects involving nlp and python. Strong understanding of deep learning and numpy."
Machine Learning,AI Engineer,"AI Engineer with a background in python, numpy, nlp, pandas. Built projects using python, numpy and nlp. Familiar with pandas and team collaboration tools."
Machine Learning,Machine Learning Engineer,"Experienced Machine Learning Engineer with hands-on skills in nlp, python, deep learning, scikit-learn. Worked on multiple projects involving nlp and python. Strong understanding of deep learning and scikit-learn."
Cloud Computing,Cloud Support Associate,"Passionate Cloud Support Associate proficient in docker, kubernetes, azure, terraform. Contributed to internship projects using docker, kubernetes, azure and terraform."
Database Administration,SQL Developer,"SQL Developer with a background in linux, mongodb, performance tuning, mysql. Built projects using linux, mongodb and performance tuning. Familiar with mysql and team collaboration tools."
Web Development,Frontend Developer,"Passionate Frontend Developer proficient in rest api, react, git, mongodb. Contributed to internship projects using rest api, react, git and mongodb."
Data Science,Junior Data Scientist,"Experienced Junior Data Scientist with hands-on skills in python, statistics, data visualization, numpy. Worked on multiple projects involving python and statistics. Strong understanding of data visualization and numpy."
Web Development,Frontend Developer,"Frontend Developer with a background in react, node.js, mongodb, css. Built projects using react, node.js and mongodb. Familiar with css and team collaboration tools."
DevOps,DevOps Engineer,"Motivated DevOps Engineer skilled in ansible, kubernetes, docker, ci/cd. Completed academic and personal projects focused on ansible and kubernetes. Comfortable working with docker."
Business Analyst,Business Analyst,"Experienced Business Analyst with hands-on skills in tableau, communication, excel, jira. Worked on multiple projects involving tableau and communication. Strong understanding of excel and jira."
Machine Learning,Machine Learning Engineer,"Passionate Machine Learning Engineer proficient in numpy, pytorch, scikit-learn, pandas. Contributed to internship projects using numpy, pytorch, scikit-learn and pandas."
Data Science,Data Scientist,"Passionate Data Scientist proficient in python, statistics, numpy, excel. Contributed to internship projects using python, statistics, numpy and excel."
Cloud Computing,AWS Solutions Architect,"AWS Solutions Architect candidate with practical exposure to networking, azure, terraform, gcp. Interested in growing expertise in networking and azure."
Machine Learning,Machine Learning Engineer,"Machine Learning Engineer candidate with practical exposure to python, nlp, tensorflow, numpy. Interested in growing expertise in python and nlp."
Data Science,Junior Data Scientist,"Passionate Junior Data Scientist proficient in numpy, python, sql, excel. Contributed to internship projects using numpy, python, sql and excel."
Android Development,Android Developer,"Android Developer candidate with practical exposure to java, sqlite, kotlin, xml. Interested in growing expertise in java and sqlite."
Web Development,Full Stack Developer,"Full Stack Developer with a background in html, node.js, mongodb, react. Built projects using html, node.js and mongodb. Familiar with react and team collaboration tools."
Database Administration,Data Engineer,"Data Engineer candidate with practical exposure to postgresql, linux, mysql, performance tuning. Interested in growing expertise in postgresql and linux."
Machine Learning,ML Research Intern,"Passionate ML Research Intern proficient in tensorflow, nlp, pandas, numpy. Contributed to internship projects using tensorflow, nlp, pandas and numpy."
UI/UX Design,UX Researcher,"Experienced UX Researcher with hands-on skills in figma, prototyping, user research, css. Worked on multiple projects involving figma and prototyping. Strong understanding of user research and css."
Web Development,Full Stack Developer,"Full Stack Developer with a background in node.js, css, javascript, html. Built projects using node.js, css and javascript. Familiar with html and team collaboration tools."
Machine Learning,ML Research Intern,"Motivated ML Research Intern skilled in tensorflow, pytorch, deep learning, numpy. Completed academic and personal projects focused on tensorflow and pytorch. Comfortable working with deep learning."
Database Administration,Data Engineer,"Data Engineer candidate with practical exposure to sql, performance tuning, backup recovery, postgresql. Interested in growing expertise in sql and performance tuning."
Web Development,Frontend Developer,"Motivated Frontend Developer skilled in css, html, rest api, node.js. Completed academic and personal projects focused on css and html. Comfortable working with rest api."
Android Development,Mobile App Developer,"Motivated Mobile App Developer skilled in firebase, kotlin, android studio, sqlite. Completed academic and personal projects focused on firebase and kotlin. Comfortable working with android studio."
Cloud Computing,Cloud Support Associate,"Passionate Cloud Support Associate proficient in kubernetes, terraform, aws, linux. Contributed to internship projects using kubernetes, terraform, aws and linux."
DevOps,Site Reliability Engineer,"Experienced Site Reliability Engineer with hands-on skills in docker, jenkins, kubernetes, terraform. Worked on multiple projects involving docker and jenkins. Strong understanding of kubernetes and terraform."
Android Development,Mobile App Developer,"Mobile App Developer candidate with practical exposure to sqlite, xml, firebase, java. Interested in growing expertise in sqlite and xml."
Web Development,Frontend Developer,"Frontend Developer with a background in html, git, javascript, node.js. Built projects using html, git and javascript. Familiar with node.js and team collaboration tools."
Business Analyst,Business Analyst,"Passionate Business Analyst proficient in sql, excel, power bi, communication. Contributed to internship projects using sql, excel, power bi and communication."
Data Science,Data Analyst,"Data Analyst with a background in statistics, data visualization, python, numpy. Built projects using statistics, data visualization and python. Familiar with numpy and team collaboration tools."
Business Analyst,Product Analyst,"Product Analyst candidate with practical exposure to tableau, sql, jira, communication. Interested in growing expertise in tableau and sql."
Android Development,Mobile App Developer,"Experienced Mobile App Developer with hands-on skills in kotlin, sqlite, android studio, xml. Worked on multiple projects involving kotlin and sqlite. Strong understanding of android studio and xml."
Machine Learning,ML Research Intern,"ML Research Intern with a background in scikit-learn, pytorch, python, pandas. Built projects using scikit-learn, pytorch and python. Familiar with pandas and team collaboration tools."
Machine Learning,Machine Learning Engineer,"Passionate Machine Learning Engineer proficient in nlp, tensorflow, scikit-learn, numpy. Contributed to internship projects using nlp, tensorflow, scikit-learn and numpy."
Data Science,Junior Data Scientist,"Junior Data Scientist with a background in excel, numpy, matplotlib, python. Built projects using excel, numpy and matplotlib. Familiar with python and team collaboration tools."
Cloud Computing,AWS Solutions Architect,"AWS Solutions Architect candidate with practical exposure to terraform, linux, kubernetes, gcp. Interested in growing expertise in terraform and linux."
Data Science,Data Scientist,"Motivated Data Scientist skilled in numpy, sql, matplotlib, python. Completed academic and personal projects focused on numpy and sql. Comfortable working with matplotlib."
Web Development,Full Stack Developer,"Passionate Full Stack Developer proficient in rest api, mongodb, javascript, react. Contributed to internship projects using rest api, mongodb, javascript and react."
Database Administration,Data Engineer,"Experienced Data Engineer with hands-on skills in mongodb, backup recovery, mysql, postgresql. Worked on multiple projects involving mongodb and backup recovery. Strong understanding of mysql and postgresql."
Data Science,Junior Data Scientist,"Passionate Junior Data Scientist proficient in python, sql, excel, pandas. Contributed to internship projects using python, sql, excel and pandas."
Cyber Security,Penetration Tester,"Experienced Penetration Tester with hands-on skills in python, linux, firewalls, siem. Worked on multiple projects involving python and linux. Strong understanding of firewalls and siem."
Web Development,Full Stack Developer,"Motivated Full Stack Developer skilled in node.js, rest api, react, javascript. Completed academic and personal projects focused on node.js and rest api. Comfortable working with react."
DevOps,Release Engineer,"Motivated Release Engineer skilled in jenkins, kubernetes, ci/cd, aws. Completed academic and personal projects focused on jenkins and kubernetes. Comfortable working with ci/cd."
Android Development,Mobile App Developer,"Passionate Mobile App Developer proficient in firebase, java, android studio, gradle. Contributed to internship projects using firebase, java, android studio and gradle."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to nlp, pytorch, pandas, numpy. Interested in growing expertise in nlp and pytorch."
Machine Learning,AI Engineer,"Passionate AI Engineer proficient in tensorflow, nlp, python, numpy. Contributed to internship projects using tensorflow, nlp, python and numpy."
Business Analyst,Requirements Analyst,"Requirements Analyst candidate with practical exposure to power bi, excel, sql, jira. Interested in growing expertise in power bi and excel."
Machine Learning,Machine Learning Engineer,"Machine Learning Engineer with a background in python, numpy, scikit-learn, pytorch. Built projects using python, numpy and scikit-learn. Familiar with pytorch and team collaboration tools."
Database Administration,Database Administrator,"Passionate Database Administrator proficient in mongodb, performance tuning, backup recovery, mysql. Contributed to internship projects using mongodb, performance tuning, backup recovery and mysql."
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in ci/cd, kubernetes, aws, docker. Contributed to internship projects using ci/cd, kubernetes, aws and docker."
Web Development,Backend Developer,"Backend Developer with a background in javascript, git, rest api, node.js. Built projects using javascript, git and rest api. Familiar with node.js and team collaboration tools."
