job_id,category,job_title,job_description,job_skill_set
1001,Data Science,Data Scientist,"We are looking for a Data Scientist to join our team. The candidate should be skilled in python, matplotlib, excel, sql. Responsibilities include working on python and matplotlib related tasks.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1002,Data Science,Data Scientist,"Our company is seeking a Data Scientist experienced in statistics, excel, sql, matplotlib. The role requires expertise in statistics and excel.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1003,Data Science,Data Scientist,"We are looking for a Data Scientist to join our team. The candidate should be skilled in matplotlib, data visualization, sql, numpy. Responsibilities include working on matplotlib and data visualization related tasks.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1004,Data Science,Data Analyst,"Our company is seeking a Data Analyst experienced in matplotlib, pandas, data visualization, statistics. The role requires expertise in matplotlib and pandas.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1005,Data Science,Data Analyst,"Our company is seeking a Data Analyst experienced in matplotlib, python, data visualization, excel. The role requires expertise in matplotlib and python.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1006,Data Science,Data Analyst,"Hiring a Data Analyst with strong knowledge of matplotlib, statistics, excel, data visualization. Must be comfortable using matplotlib, statistics and excel in daily work.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1007,Data Science,Junior Data Scientist,"Hiring a Junior Data Scientist with strong knowledge of data visualization, sql, pandas, numpy. Must be comfortable using data visualization, sql and pandas in daily work.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1008,Data Science,Junior Data Scientist,"Our company is seeking a Junior Data Scientist experienced in data visualization, statistics, pandas, numpy. The role requires expertise in data visualization and statistics.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1009,Data Science,Junior Data Scientist,"We are looking for a Junior Data Scientist to join our team. The candidate should be skilled in data visualization, pandas, statistics, python. Responsibilities include working on data visualization and pandas related tasks.","python, pandas, numpy, statistics, sql, data visualization, excel, matplotlib"
1010,Web Development,Frontend Developer,"Our company is seeking a Frontend Developer experienced in mongodb, css, git, html. The role requires expertise in mongodb and css.","html, css, javascript, react, node.js, rest api, git, mongodb"
1011,Web Development,Frontend Developer,"We are looking for a Frontend Developer to join our team. The candidate should be skilled in node.js, react, mongodb, git. Responsibilities include working on node.js and react related tasks.","html, css, javascript, react, node.js, rest api, git, mongodb"
1012,Web Development,Frontend Developer,"Hiring a Frontend Developer with strong knowledge of javascript, git, mongodb, node.js. Must be comfortable using javascript, git and mongodb in daily work.","html, css, javascript, react, node.js, rest api, git, mongodb"
1013,Web Development,Backend Developer,"Our company is seeking a Backend Developer experienced in react, git, css, mongodb. The role requires expertise in react and git.","html, css, javascript, react, node.js, rest api, git, mongodb"
1014,Web Development,Backend Developer,"Join us as a Backend Developer. Required skills include mongodb, javascript, react, html. Prior exposure to mongodb and react is preferred.","html, css, javascript, react, node.js, rest api, git, mongodb"
1015,Web Development,Backend Developer,"We are looking for a Backend Developer to join our team. The candidate should be skilled in git, node.js, react, css. Responsibilities include working on git and node.js related tasks.","html, css, javascript, react, node.js, rest api, git, mongodb"
1016,Web Development,Full Stack Developer,"Hiring a Full Stack Developer with strong knowledge of rest api, html, git, javascript. Must be comfortable using rest api, html and git in daily work.","html, css, javascript, react, node.js, rest api, git, mongodb"
1017,Web Development,Full Stack Developer,"Join us as a Full Stack Developer. Required skills include mongodb, javascript, node.js, html. Prior exposure to mongodb and node.js is preferred.","html, css, javascript, react, node.js, rest api, git, mongodb"
1018,Web Development,Full Stack Developer,"We are looking for a Full Stack Developer to join our team. The candidate should be skilled in git, css, javascript, rest api. Responsibilities include working on git and css related tasks.","html, css, javascript, react, node.js, rest api, git, mongodb"
1019,Android Development,Android Developer,"Join us as a Android Developer. Required skills include android studio, java, xml, sqlite. Prior exposure to android studio and xml is preferred.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
1020,Android Development,Android Developer,"Hiring a Android Developer with strong knowledge of android studio, firebase, gradle, java. Must be comfortable using android studio, firebase and gradle in daily work.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
1021,Android Development,Android Developer,"Join us as a Android Developer. Required skills include firebase, xml, gradle, android studio. Prior exposure to firebase and gradle is preferred.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
1022,Android Development,Mobile App Developer,"We are looking for a Mobile App Developer to join our team. The candidate should be skilled in kotlin, java, xml, android studio. Responsibilities include working on kotlin and java related tasks.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
1023,Android Development,Mobile App Developer,"Our company is seeking a Mobile App Developer experienced in firebase, android studio, kotlin, gradle. The role requires expertise in firebase and android studio.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
